participation_pct,n_holders,n_non_holders,holder_mean_happiness,non_holder_mean_happiness,system_mean_happiness,total_park_happiness,gap_ratio,avg_wait,avg_rides
0,0,19995,nan,38.95170942192052,38.95170942192052,778839.4298913007,nan,263.0203550887722,7.84731182795699
10,2070,17872,74.16017557376448,35.55966438529884,39.566436933695385,789033.8853317534,2.0855139342772864,262.45978337177814,7.870725102798114
20,4061,15867,70.70086177247192,32.52044427941394,40.30098800880517,803118.0890394694,2.174043539043128,262.82637494981935,7.904907667603372
30,6096,13779,66.7054823408059,29.412321298172504,40.850767070041336,811908.9955170716,2.2679434807123013,263.9548176100629,7.888603773584905
40,8102,11714,62.30254689383439,27.337343426438373,41.63326987440176,825004.8758311453,2.279027114009206,265.86223253936214,7.928794913201453
50,10057,9813,49.958684384874566,28.321114092386214,39.272751960104145,780349.5814472693,1.7640084433791872,265.72707599396074,7.858681429290388
60,12031,7804,44.336924058351656,29.957010844692245,38.679205746307396,767202.0459780071,1.4800182931538122,266.19274010587344,7.847441391479707
70,14018,5788,41.0468368454435,32.07175479657736,38.42400664758238,761025.8756620167,1.2798438097881675,267.4225992123599,7.791376350600828
80,15930,3872,38.85864874144648,36.2465838158549,38.34789652490822,759365.0469862326,1.0720637547213214,269.39294010705987,7.727047772952227
90,17857,1925,37.333198996809934,41.82247401546599,37.77005343068482,747167.1969658071,0.8926587887412897,270.5241128298453,7.694267515923567
100,19590,0,37.320698669776746,nan,37.320698669776746,731112.4869409264,nan,274.38560490045944,7.62899438489025
