adoption_pct,n_holders,n_non_holders,holder_mean_happiness,non_holder_mean_happiness,system_mean_happiness,total_park_happiness,gap_ratio,avg_wait,avg_rides
0,0,20005,nan,38.965834289632994,38.965834289632994,779511.514964108,nan,262.8749812546863,7.8447888027993
10,2065,17909,58.3657010584894,37.342288373733744,39.51578127420538,789288.2151709783,1.5629920821762855,262.5330429558426,7.837138279763693
20,4050,15914,56.735489636333355,36.053902828642435,40.24947618924894,803540.5426421658,1.573629626339947,262.4103886996594,7.8500801442596675
30,6084,13889,54.83841561888668,34.68372396722162,40.82306928383556,815359.1628060476,1.5810994133938028,262.4392930456116,7.8480448605617585
40,8085,11909,52.92182711905435,33.64563635214679,41.440374891230896,828558.8555752705,1.5729180023571654,262.4705411623487,7.829348804641392
50,10079,9931,51.27045184421578,32.592505258118294,42.000552416602886,840431.0538562237,1.5730748967646508,261.7894552723638,7.820439780109945
60,12147,7879,49.64832379405475,31.665229287743184,42.57308152823887,852568.5306845116,1.5679129730247165,261.8296714271447,7.796764206531509
70,14221,5823,48.247342662435194,30.525425099273768,43.098932865474055,863875.010355562,1.5805625148716782,260.1386449810417,7.76012771901816
80,16200,3878,46.85889253256072,29.905447756977257,43.58439014986759,875087.3854290415,1.566901552966317,260.28693096922007,7.71755154895906
90,18198,1913,45.74285349781019,29.41674111061651,44.18987985171096,888702.6736977592,1.5549939174364076,260.47700263537365,7.687981701556362
100,20159,0,44.4345545806611,nan,44.4345545806611,895756.1857915471,nan,260.33156406567787,7.6002777915571205
