strategy,seed,total_park_happiness,avg_happiness,median_happiness,std_happiness,avg_wait,avg_travel,avg_rides,peak_queue,total_passes_used,num_agents
none,42,778384.7196218246,38.9933232953524,26.644571068801554,35.79214934188631,262.6369602244264,19.66240857629496,7.858481114116822,2663.0,0,19962
none,1,775402.9522466913,39.47678201031928,27.676057865828454,35.57029934850438,262.6991141431626,20.26015680684248,7.972406068628449,2628.0,0,19642
none,7,776490.7430539675,39.33988970787149,27.085465971381794,35.73724298245168,262.1847704934644,20.266795014692473,7.943915290302969,2643.0,0,19738
preselect,42,900150.9333664923,44.6481292280389,36.904367327864755,25.481677784037203,260.1432964634691,26.341897723327214,7.635831555974406,3441.0,58111,20161
preselect,1,895939.3723224947,45.315834926027755,37.615149090013,25.641100763263342,260.8576197460928,26.832279601436447,7.803146021951343,3431.0,56905,19771
preselect,7,895884.6482853156,45.10091866116168,37.3888974857048,25.34169707006834,260.10919250906164,26.633256141763994,7.741894885219493,3433.0,57222,19864
preselect_timed,42,773578.7879819622,38.92416161728702,26.64542376900728,35.32934281474052,264.54211532655734,22.62745295360773,7.893931770151958,2727.0,12366,19874
preselect_timed,1,769250.1346093512,39.42850510555362,27.327956576061567,35.305593838895795,264.49492567913893,22.80123013839057,8.029472065607381,2724.0,12192,19510
preselect_timed,7,771513.0892221434,39.24677430166565,27.09867321138928,35.2295853723607,263.0724387018008,22.65062569946078,7.973649404822464,2702.0,12406,19658
dynamic,42,663079.5479157297,40.07733743824296,17.55108762292437,52.26921580155063,283.2051979449985,18.81722574796011,8.864672106376549,1577.0,44014,16545
dynamic,1,657642.2645263015,40.27203089567064,17.783000039484307,52.36044516326736,282.1543784445805,19.07550520514391,8.932455603184323,1455.0,43137,16330
dynamic,7,638542.1867523642,39.26590743772993,14.022842954355447,55.33345092872016,283.83403025458125,19.439798302791786,9.048825482720453,1385.0,42326,16262
express,42,815731.5419404015,41.05135835843196,34.99750554329252,32.920462583328884,264.0384983141261,23.673594685722914,7.926626742489054,2437.0,52809,19871
express,1,806632.0074050647,41.32547811901556,35.580000564104154,32.48522056947793,263.98678210973924,24.169424663148728,8.023669245350684,2472.0,52498,19519
express,7,810300.023492327,41.314435501571765,35.819735239287915,32.62202222102559,263.33304440932034,23.830571559679804,7.996787844796819,2468.0,50952,19613
