participation_pct,n_holders,n_non_holders,holder_mean_happiness,non_holder_mean_happiness,system_mean_happiness,total_park_happiness,gap_ratio,avg_wait,avg_rides
0,0,20022,nan,37.74333481908115,37.74333481908115,755697.0497476427,nan,256.42468284886627,8.012636100289681
10,2064,17972,74.93384681900912,34.659799150556054,38.80861300500241,777569.3701682282,2.1619815652569048,258.9647135156718,8.017768017568377
20,4062,15939,73.68103195945585,31.44021571496683,40.018896560180295,800417.950100166,2.3435281941904953,260.7329633518324,8.034398280085997
30,6057,13908,71.7960227849006,28.085431619861236,41.34639083281608,825480.692977173,2.5563439350573645,262.38292011019286,8.04237415477085
40,8173,11759,69.27062486025255,24.383737401759188,42.78934302077717,852877.1850901304,2.840853463885112,263.7560706401766,8.050772626931566
50,10131,9686,63.04783728093983,22.44460018057595,43.20210106687491,856136.03684226,2.8090425658596856,261.4725235908563,8.088711712166322
60,12198,7624,58.55600132086987,20.39112814615867,43.876907733744545,869728.0650982844,2.87164108337482,261.44243769548984,8.08197961860559
70,14269,5500,54.02626094647655,18.795429311098587,44.22457274805585,874275.578656316,2.87443612232759,259.0140624209621,8.096666498052507
80,16264,3576,50.43058218527447,16.940824666595198,44.394323471222194,880783.3776690483,2.9768670166757656,259.3367439516129,8.061895161290323
90,18224,1757,47.54473944921731,14.994017927087016,44.682439378430914,892799.8212204281,3.1709138724802184,259.5029778289375,7.99759771783194
100,20201,0,44.93900770754638,nan,44.93900770754638,907812.8947001444,nan,259.24518588188704,7.9040146527399635
