adoption_pct,n_holders,n_non_holders,holder_mean_happiness,non_holder_mean_happiness,system_mean_happiness,total_park_happiness,gap_ratio,avg_wait,avg_rides
0,0,20018,nan,37.74054694259113,37.74054694259113,755490.2686967893,nan,256.4112298930962,8.014736736936756
10,2059,17977,57.25129799384679,36.38380730527953,38.52825546498008,771952.1264963408,1.573537851975685,256.7210021960471,8.003942902775005
20,4054,15997,56.9061170369534,34.83632991365886,39.29849723687646,787974.1680966099,1.6335279054364815,257.28407560720166,7.995960301231859
30,6045,14008,56.051914686341135,33.28143937927157,40.14562544775187,805040.2271037681,1.684179402446504,257.8662045579215,7.993666783024984
40,8156,11889,55.03327507329857,31.537124545793052,41.09734423660548,823796.2652227568,1.745031478484611,258.3434771763532,7.990970316787228
50,10106,9927,53.90184987764579,29.93150675692164,42.023768903282054,841862.1624394495,1.800839841288011,258.7409773873109,7.99086507263016
60,12169,7870,52.48405754185328,28.539470341631954,43.0802000007713,863284.1278154561,1.8389990043120092,258.7706472378861,7.984230750037427
70,14238,5803,51.1286634613377,26.9279818674348,44.12120099492292,884232.9891392504,1.898718727346213,259.02894067162316,7.977047053540242
80,16230,3817,49.73814166120639,25.473973828646056,45.118182135248254,904484.1972653217,1.952508155805465,259.5065595849753,7.967775727041452
90,18185,1906,48.36183737279129,23.8536527484732,46.03678636020106,924925.0747627995,2.0274394820259465,259.25907122592207,7.94345726942412
100,20161,0,46.784288135304436,nan,46.784288135304436,943218.0330958727,nan,258.78493130301075,7.9092306929219784
