strategy,seed,total_park_happiness,avg_happiness,median_happiness,std_happiness,avg_wait,avg_travel,avg_rides,peak_queue,total_passes_used,num_agents
none,42,755647.394841676,37.755940583675226,24.711162514927373,34.13692601429848,256.5402218447087,41.835615069451386,8.016188667932447,2749.0,0,20014
none,1,751920.6001159869,38.24621567222721,25.30680210928157,34.056935409256575,256.4511190233978,42.53997965412004,8.163682604272635,2713.0,0,19660
none,7,753100.8896909301,38.100824126830425,24.997576515735844,34.199764733790914,255.40822624709097,42.5236264292219,8.115248406354345,2705.0,0,19766
preselect,42,943237.6469293608,46.78062029109561,42.95408463162831,20.310633985585234,258.7715121757675,43.661707087239,7.9087933343252494,2753.0,59728,20163
preselect,1,935211.8097979225,47.24962409932413,43.622423577085684,20.388507467124175,258.7523366846865,44.35785378669227,8.055221542969736,2687.0,58699,19793
preselect,7,939037.2490014012,47.240026612405735,43.57546653685235,20.392159516024478,258.4544219740417,44.284837508803705,8.018865076969513,2705.0,58984,19878
preselect_timed,42,760017.1772101764,38.25910783841814,24.997567920270658,34.71381051295875,263.1094890510949,40.826378051849986,8.059551975836898,2763.0,13883,19865
preselect_timed,1,756061.7280261492,38.7227517555006,25.76793181991098,34.62795774522722,262.88225352112676,41.48809218950064,8.199436619718309,2723.0,13773,19525
preselect_timed,7,757233.8791354516,38.628469067767774,25.53619886594133,34.78899244597686,262.2957710554507,41.484721726266386,8.164107534561037,2731.0,13888,19603
dynamic,42,916823.2195353903,45.85721100061973,36.84859745060602,27.839523470605823,267.54404041414494,37.25543940379133,7.991396988946131,2944.0,54540,19993
dynamic,1,910132.4316043456,46.29361300123833,37.34056420227989,27.592510431565188,267.29618514750763,37.89903357070193,8.130518819938962,2893.0,53582,19660
dynamic,7,918102.5216676506,46.49562046326601,37.43230548650433,27.65464203147196,266.6349640433506,37.789577635976904,8.095057226780108,2917.0,53996,19746
express,42,825312.6658301529,41.344187247277475,34.877758547087765,33.1548744491602,262.4538122432622,42.475052599939886,8.044384330227432,2576.0,56403,19962
express,1,821360.4466141871,41.933958575289076,35.58218180641828,33.1850128768542,262.583346096901,43.21274314596416,8.20089855516414,2549.0,56010,19587
express,7,820772.6687943558,41.653015417120315,35.27487793284984,33.288298322211276,261.49961938594265,42.990205531590966,8.147323014463334,2557.0,55479,19705
